Z,kappa_menos,kappa_mas,kappa_LPC,ntst
30.5,0.4342029230887618,10.279972361624996,0.4320515308451687,60
33.0,0.3990543871419037,10.366474573344114,0.3933147150649488,60
30.0,0.4420463651157569,10.259539039707374,0.4406068928603022,60
32.0,0.41235890800088315,10.334802774435705,0.4080328707495137,60
35.0,0.3750220566254208,10.419674919251625,0.3666577618882907,60
40.0,0.3266059053434699,10.505953273016152,0.3131146216938791,60
31.0,0.426651079325803,10.29929123230024,0.42377519899658,60
50.0,0.26120347480830014,10.55081709324966,0.2423538895703266,60
45.0,0.28994911484311153,10.544457058787977,0.2731462280176249,60
29.0,0.4586790700777294,10.2150897560668,0.4585504665376506,60
60.0,0.2189588827139625,10.503355823855362,0.1983135964526932,60
29.5,0.45019880667537726,10.237932471305252,0.4494420125316598,60
100.0,0.13694396665254466,10.02637343178417,0.1180138858813613,60
80.0,0.16739743706213786,10.291933535684826,0.1469463530644762,60
27.0,0.4963134283616402,10.109936801471465,0.4963141798624851,60
70.0,0.18934825895270382,10.409638664703676,0.168463976791084,60
28.8,0.4621674769601617,10.205591703076612,0.4622632323696438,60
28.0,0.47670636969060065,10.165421772093406,0.4767068087017062,60
34.0,0.3866376897553014,10.394662142862352,0.3795475920846221,60
28.5,0.46750754760440716,10.19094354498762,0.4675075517899756,60
42.0,0.3107933060423757,10.526044335576223,0.2957866918723032,60
27.5,0.4862995953477632,10.138447019444978,0.4862995435594227,60
29.8,0.4452692410957434,10.25104102459009,0.4441071160210105,60
37.0,0.3539002073314168,10.461272950045815,0.3432384544128521,60
55.0,0.2380383491001837,10.53493618433299,0.2180107038462942,60
29.2,0.4552463580196302,10.224379372871343,0.4548756554968033,60
