tipo,Z,kappa,extra
hopf_inferior,26.0,0.517719967473625,-0.006040989589570272
hopf_inferior,26.25,0.512186089801569,-0.005654457788273387
hopf_inferior,26.5,0.5067764634628275,-0.005269987603856016
hopf_inferior,26.75,0.5014869076606576,-0.004887570845005515
hopf_inferior,27.0,0.4963134283616402,-0.0045071988887408175
hopf_inferior,27.25,0.491252207912664,-0.0041288627163284485
hopf_inferior,27.5,0.4862995953477632,-0.0037525529467620326
hopf_inferior,27.75,0.48145209733154204,-0.0033782598679768733
hopf_inferior,28.0,0.47670636969060065,-0.0030059734659580875
hopf_inferior,28.25,0.4720592094885991,-0.002635683451888813
hopf_inferior,28.5,0.46750754760440716,-0.0022673792874739833
hopf_inferior,28.75,0.4630484417762319,-0.0019010502085650837
hopf_inferior,29.0,0.4586790700777294,-0.001536685247202001
hopf_inferior,29.25,0.4543967247949314,-0.001174273252179567
hopf_inferior,29.5,0.45019880667537726,-0.0008138029082385193
hopf_inferior,29.75,0.44608281952316625,-0.00045526275397339495
hopf_inferior,30.0,0.4420463651157569,-9.86411985431957e-05
hopf_inferior,30.1,0.44045353316734814,4.3472834317600365e-05
hopf_inferior,31.284745762711864,0.4224744683713039,0.0017042097191059481
hopf_inferior,32.46949152542373,0.40599597372919566,0.003323502946710091
hopf_inferior,33.6542372881356,0.39083616323019954,0.004902644947816225
hopf_inferior,34.83898305084746,0.3768415192533369,0.006442928578411899
hopf_inferior,36.02372881355932,0.36388155233093733,0.007945632688567577
hopf_inferior,37.208474576271186,0.3518446269919125,0.009412011988161505
hopf_inferior,38.393220338983056,0.3406346662087681,0.010843290077649892
hopf_inferior,39.57796610169492,0.3301685254402821,0.012240654814874114
hopf_inferior,40.76271186440678,0.3203738823635343,0.013605255406856547
hopf_inferior,41.947457627118645,0.31118752762837776,0.014938200773700108
hopf_inferior,43.13220338983051,0.30255397027335873,0.01624055884735923
hopf_inferior,44.31694915254238,0.29442429210552645,0.01751335655320563
hopf_inferior,45.50169491525424,0.2867552005982883,0.01875758028540846
hopf_inferior,46.686440677966104,0.27950824123484025,0.019974176734164774
hopf_inferior,47.871186440677974,0.27264913878742725,0.02116405395802748
hopf_inferior,49.05593220338983,0.26614724352721675,0.022328082621066482
hopf_inferior,50.2406779661017,0.25997506334217696,0.023467097334602165
hopf_inferior,51.42542372881356,0.25410786658726636,0.02458189805840531
hopf_inferior,52.610169491525426,0.24852334348337898,0.025673251527770845
hopf_inferior,53.794915254237296,0.2432013162250871,0.026741892681635186
hopf_inferior,54.97966101694915,0.23812348980497594,0.027788526073585684
hopf_inferior,56.16440677966102,0.23327323702830455,0.028813827252703362
hopf_inferior,57.349152542372885,0.22863541236164087,0.02981844410506129
hopf_inferior,58.53389830508475,0.22419619019803633,0.030802998149656355
hopf_inferior,59.71864406779662,0.2199429238788698,0.03176808578479482
hopf_inferior,60.90338983050847,0.21586402242683522,0.03271427948264863
hopf_inferior,62.08813559322034,0.21194884244516754,0.03364212893097442
hopf_inferior,63.272881355932206,0.20818759304803622,0.034552162121937104
hopf_inferior,64.45762711864407,0.2045712520240265,0.03544488638868047
hopf_inferior,65.64237288135594,0.20109149171290125,0.03632078939079397
hopf_inferior,66.82711864406781,0.19774061330654175,0.037180340050183724
hopf_inferior,68.01186440677967,0.1945114884769845,0.038023989439100736
hopf_inferior,69.19661016949152,0.19139750739487724,0.038852171622236475
hopf_inferior,70.38135593220339,0.18839253233615927,0.039665304454887466
hopf_inferior,71.56610169491526,0.1854908561878993,0.04046379033923086
hopf_inferior,72.75084745762712,0.18268716525970638,0.041248016940756575
hopf_inferior,73.93559322033899,0.17997650588797326,0.04201835786687633
hopf_inferior,75.12033898305086,0.17735425438886734,0.04277517330968459
hopf_inferior,76.30508474576271,0.17481608997446493,0.04351881065478734
hopf_inferior,77.48983050847458,0.172357970296376,0.0442496050580443
hopf_inferior,78.67457627118645,0.16997610932399215,0.044967879991994496
hopf_inferior,79.85932203389831,0.16766695730123238,0.04567394776365543
hopf_inferior,81.04406779661016,0.16542718255729627,0.04636811000530441
hopf_inferior,82.22881355932205,0.16325365497423858,0.047050658139769
hopf_inferior,83.4135593220339,0.16114343093779984,0.047721873821672936
hopf_inferior,84.59830508474576,0.1590937396184129,0.04838202935600536
hopf_inferior,85.78305084745763,0.15710197044710816,0.04903138809530404
hopf_inferior,86.9677966101695,0.15516566166654558,0.049670204816670574
hopf_inferior,88.15254237288136,0.15328248985093548,0.050298726079764516
hopf_inferior,89.33728813559323,0.15145026030044761,0.050917190566856424
hopf_inferior,90.5220338983051,0.14966689822608004,0.05152582940595578
hopf_inferior,91.70677966101695,0.1479304406500667,0.05212486647796943
hopf_inferior,92.89152542372882,0.1462390289549146,0.052714518708788724
hopf_inferior,94.07627118644069,0.14459090202122107,0.053294996347149605
hopf_inferior,95.26101694915255,0.14298438990065335,0.053866503229059025
hopf_inferior,96.4457627118644,0.1414179079759856,0.05442923702953317
hopf_inferior,97.63050847457629,0.1398899515649692,0.05498338950234794
hopf_inferior,98.81525423728814,0.13839909092914365,0.05552914670845974
hopf_inferior,100.0,0.13694396665254466,0.056066689233715335
pliegue_global,28.8,0.4622632323696438,0.4621674769601617
pliegue_global,29.0,0.4585504665376506,0.4586790700777294
pliegue_global,29.2,0.4548756554968033,0.4552463580196302
pliegue_global,29.5,0.4494420125316598,0.4501988066753772
pliegue_global,29.8,0.4441071160210105,0.4452692410957434
pliegue_global,30.0,0.4406068928603022,0.4420463651157569
pliegue_global,30.5,0.4320515308451687,0.4342029230887618
pliegue_global,31.0,0.42377519899658,0.426651079325803
pliegue_global,32.0,0.4080328707495137,0.4123589080008831
pliegue_global,33.0,0.3933147150649488,0.3990543871419037
pliegue_global,34.0,0.3795475920846221,0.3866376897553014
pliegue_global,35.0,0.3666577618882907,0.3750220566254208
pliegue_global,37.0,0.3432384544128521,0.3539002073314168
pliegue_global,40.0,0.3131146216938791,0.3266059053434699
pliegue_global,42.0,0.2957866918723032,0.3107933060423757
pliegue_global,45.0,0.2731462280176249,0.2899491148431115
pliegue_global,50.0,0.2423538895703266,0.2612034748083001
pliegue_global,55.0,0.2180107038462942,0.2380383491001837
pliegue_global,60.0,0.1983135964526932,0.2189588827139625
pliegue_global,70.0,0.168463976791084,0.1893482589527038
pliegue_global,80.0,0.1469463530644762,0.1673974370621378
pliegue_global,100.0,0.1180138858813613,0.1369439666525446
pliegue_local,28.8,0.4623634067197638,0.5902720087620196
pliegue_local,29.0,0.4588065491317434,0.5076395961368135
pliegue_local,29.2,0.4553245672359742,0.4362436839328724
pliegue_local,29.5,0.4502292244938072,0.33348751245538255
pliegue_local,29.8,0.4452754821215177,0.21919308277283045
pliegue_local,30.0,0.4420467568036298,0.110453595350546
