kappa,xmin,xmax,period,stable
10.297291232300239,1.0891071976029263,1.1892861559734187,0.7533657503548726,true
10.296894360379422,1.0844820825509491,1.1941504089980481,0.7533936321999771,true
10.29626334696632,1.0778760196858563,1.2011366674610584,0.753437967205207,true
10.295232667433345,1.0684644878433724,1.2111689437538393,0.753510391959847,true
10.293578875829292,1.0556614600171026,1.2249689175428211,0.7536266273754411,true
10.290870250442667,1.0383442726424494,1.243919181773055,0.7538170674176019,true
10.286361263108914,1.0151175804200943,1.2698647396043476,0.7541342718727776,true
10.27878500465065,0.9843612120085675,1.3051894616151767,0.7546677730558334,true
10.266265153663767,0.9449686791413406,1.3521289401716616,0.755550810657831,true
10.251567629624525,0.9082220204954656,1.3977399126898642,0.7565897072420436,true
10.235099620343373,0.8740506858126443,1.4418542492132256,0.7577566675883936,true
10.217184625925558,0.8422469928972048,1.4844723557197523,0.7590296788834502,true
10.198082637739587,0.8125657501142777,1.5256564195761526,0.7603910875272064,true
10.178000285739552,0.784790611538115,1.5655814182445125,0.7618268965558475,true
10.157101447362002,0.7587467625767018,1.6042709037195617,0.7633260345125126,true
10.135516514835443,0.7342591501045511,1.6418164206361971,0.7648797183171336,true
10.113349881945256,0.7111531439355129,1.6783063536018632,0.7664809394453619,true
10.090685776468383,0.6892889973314857,1.7138460964545719,0.7681240642187583,true
10.067592730177907,0.6685726618405066,1.7485798514010753,0.7698045278534836,true
10.044126985303954,0.6489009089424906,1.7824940721445715,0.7715186015761482,true
10.020335091415756,0.6301832113214109,1.8156487679961815,0.7732632152835401,true
9.99625589273383,0.6123093130945494,1.8480978295177712,0.7750358219748481,true
9.971922057861649,0.595228993710989,1.8798896460667749,0.7768342935074734,true
9.947361265509429,0.5788912573573229,1.9111086686926693,0.7786568398787196,true
9.922597130501394,0.5632409754388128,1.941852597348434,0.7805019462521097,true
9.897649932565534,0.5482289575419942,1.9720679752417152,0.7823683234461233,true
9.872537194358511,0.533799109150717,2.001786498113022,0.7842548687054054,true
9.847274143408246,0.5198985479049256,2.031036879981994,0.7861606343822409,true
9.82187408401845,0.5065176865995441,2.059845195516013,0.7880848027483839,true
9.796348698819823,0.49362428319334495,2.088235179175754,0.7900266655930308,true
9.770708294948244,0.48118906654515864,2.1162426814877167,0.7919856075847287,true
9.744962006330594,0.4691853828534705,2.1440207123990196,0.7939610926144117,true
9.719117960938869,0.4575824140148246,2.171449540808152,0.7959526525158395,true
9.693183419898878,0.4463376815572679,2.198545737995654,0.7979598776945849,true
9.667164893841877,0.4354582428387949,2.225324558290042,0.7999824092989806,true
9.641068240743323,0.42492528537658125,2.251800072063773,0.8020199326444322,true
9.614898748613342,0.4147214505876988,2.277985282742645,0.8040721716625185,true
9.588661205722662,0.40483068564290264,2.3038922299833295,0.8061388841926863,true
9.56235996051742,0.3952381136604855,2.329532080865137,0.8082198579704234,true
9.53599897296067,0.3859193903961061,2.354994995320057,0.8103149071940731,true
9.509581858710822,0.3768539993839408,2.3803215228940076,0.812423869574769,true
9.483111927287323,0.3680489818428642,2.405418696631998,0.8145466037915954,true
9.456592215166712,0.3594931501346775,2.430294875833124,0.8166829872881558,true
9.430025514586054,0.35117603772845046,2.454957875078908,0.8188329143580162,true
9.403414398696961,0.3430878370425947,2.4794150095564533,0.8209962944755947,true
9.376761243604692,0.335219343886894,2.503673135758418,0.823173050836328,true
9.350068247739031,0.32756190768224674,2.527738688109789,0.8253631190760835,true
9.323337448931026,0.3200868609649627,2.5516177119955596,0.8275664461444968,true
9.296570739510745,0.31280329530570566,2.5753158936031277,0.8297829893110598,true
9.26976987969219,0.3057084935018835,2.598884492905412,0.8320127152860074,true
9.242936509471075,0.29879560682989936,2.6224548620100028,0.834255599440835,true
9.216072159227538,0.29205815548914654,2.6458678416242596,0.8365116251155089,true
9.18917825919777,0.28549000174800304,2.669127920401765,0.838780783001386,true
9.162256147955027,0.2790853255207028,2.692239341895918,0.8410630705903703,true
9.135307080020674,0.272838602114511,2.7152061213132277,0.8433584916822326,true
9.108332232709353,0.26673228514798236,2.738032060839201,0.8456670559431266,true
9.08133271229809,0.26076528268846366,2.7607207636800464,0.8479887785092485,true
9.054309559597304,0.2549419177897894,2.783275646947648,0.8503236796304534,true
9.027263754991406,0.24925765078578857,2.805699953500436,0.8526717843492786,true
9.000196223008018,0.24370815124151055,2.827996762840431,0.8550331222114413,true
8.973107836467284,0.23828928482638043,2.850169001155405,0.8574077270043514,true
8.945999420256477,0.23299710121800804,2.872301297972474,0.8597956365206575,true
8.918871754769441,0.2278278229403723,2.8944864367134877,0.8621968923441509,true
8.891725579045719,0.2227778350502777,2.91656308982034,0.8646115396557249,true
8.86456159364009,0.21783255293528628,2.9385336702631872,0.86703962705734,true
8.837380463249639,0.2129937016345608,2.960400478224804,0.8694812064121952,true
8.810182819122353,0.20826477261347606,2.982165707366123,0.8719363326994921,true
8.782969261268601,0.2036427018539966,3.0038314506503654,0.8744050638824091,true
8.755740360494341,0.19912454651458306,3.0253997057621183,0.8768874607879718,true
8.728496660273017,0.19470747836749658,3.0468723801558335,0.8793835869977884,true
8.70123867847108,0.1903887776833425,3.0682512957631998,0.8818935087485603,true
8.67396690894065,0.18616582752623337,3.089538193387491,0.8844172948415495,true
8.646681822991283,0.18203610842663054,3.110734736809462,0.8869550165601741,true
8.619383870751651,0.17799719340188336,3.131842516627629,0.8895067475950278,true
8.59207348243082,0.17403290439072092,3.152863053853342,0.8920725639756791,true
8.564751069487832,0.17015475090184132,3.17399480519942,0.8946525440087,true
8.537417025717414,0.16636113517038953,3.195143628933712,0.8972467682213744,true
8.510071728258906,0.162649946374513,3.2162176211133504,0.8998553193106396,true
