curva,sentido,Z,kappa,omega2,l1
1,1,20.0,0.7034701204002224,NaN,-0.01869361606624198
1,1,20.01412659412807,0.7028651276888662,NaN,-0.01866090579447944
1,1,20.03476279223489,0.7019833257714445,NaN,-0.01861316815118183
1,1,20.064132370713896,0.7007323644651731,NaN,-0.01854532087808966
1,1,20.105931439003783,0.6989600887274859,NaN,-0.018448948160361724
1,1,20.16542044274217,0.6964540387322264,NaN,-0.018312168244742466
1,1,20.236056004537765,0.6935029797174679,NaN,-0.01815033365518376
1,1,20.306692480944246,0.6905781968303571,NaN,-0.01798911492464004
1,1,20.377329856014928,0.6876793356360277,NaN,-0.01782850665663
1,1,20.447968114598307,0.6848060481104825,NaN,-0.017668503533097797
1,1,20.518607241872843,0.6819579925125956,NaN,-0.017509100313783874
1,1,20.58924722333812,0.6791348332410589,NaN,-0.01735029183460126
1,1,20.659888044806266,0.6763362406952781,NaN,-0.01719207300605398
1,1,20.730529692393674,0.6735618911400727,NaN,-0.01703443881169288
1,1,20.801172152512958,0.6708114665740799,NaN,-0.01687738430662262
1,1,20.871815411865178,0.6680846546017333,NaN,-0.016720904616038874
1,1,20.942459457432303,0.6653811483086948,NaN,-0.016564994933810556
1,1,21.013104276469907,0.6627006461406455,NaN,-0.01640965052109577
1,1,21.0837498565001,0.6600428517853151,NaN,-0.01625486670499704
1,1,21.154396185304655,0.6574074740576522,NaN,-0.016100638877248247
1,1,21.22504325091838,0.6547942267880493,NaN,-0.01594696249293659
1,1,21.295691041622646,0.6522028287135017,NaN,-0.01579383306925996
1,1,21.366339545939162,0.649633003371638,NaN,-0.015641246184313118
1,1,21.436988752623897,0.6470844789975039,NaN,-0.015489197475902862
1,1,21.507638650661203,0.6445569884230475,NaN,-0.01533768264039971
1,1,21.578289229258118,0.6420502689791941,NaN,-0.01518669743161228
1,1,21.64894047783882,0.6395640624004462,NaN,-0.015036237659691198
1,1,21.719592386039267,0.637098114731932,NaN,-0.01488629919006259
