step,kappa,period,x0,y0,z0,xmin,xmax,ymin,ymax,zmin,zmax,residual,logmu1_re,logmu1_im,logmu2_re,logmu2_im,logmu3_re,logmu3_im
12,6.114873458061798,1.1964285180953151,1.810660039599703,1.091534624290235,0.8787059156872059,0.4549230589338026,1.8148233091989208,0.5838202476577941,1.6395438797844042,0.6990753693872751,1.353335759609454,2.9120421352057946e-12,-5.407361226913246e-10,0.0,-0.09239409114081755,0.0,-9.632802729962393,0.0
13,6.064930082360294,1.2024902786073233,1.8768475323254605,1.09247418699306,0.8673439309530202,0.42643155854269205,1.8821868193919777,0.5606207323097057,1.6963650024852877,0.6803980486220551,1.3793631236410533,1.5796287888836247e-12,-3.049005492992889e-10,0.0,-0.1059413399501005,0.0,-9.610906319496136,0.0
14,6.014365672617048,1.2086810163946557,1.940824651054309,1.0925344500940737,0.8562064882791971,0.40045800587156466,1.9475068761419436,0.5391727856151193,1.7522338564215627,0.6629478763431114,1.4041963281180883,8.957175279267204e-13,-1.7925705366125419e-10,0.0,-0.11971180407057655,0.0,-9.58853984219933,0.0
15,5.963291415225767,1.2149895267561182,2.002841164757766,1.0918048819260944,0.845271902997253,0.37666035973922646,2.011034963067834,0.5192339971838904,1.8073335658644483,0.6465692410100591,1.4279710800014056,5.275779813018744e-13,-1.09371844920089e-10,0.0,-0.13367633341748772,0.0,-9.565744027195471,0.0
16,5.911792284322865,1.2214074657272382,2.0631010514165404,1.0903583766743832,0.8345222452095867,0.3547623304852273,2.072987850870434,0.5006091867927274,1.8618182875370712,0.6311346413306,1.4507976631213402,3.214650767802141e-13,-6.894596005462362e-11,0.0,-0.14781244523483805,0.0,-9.542549348773095,0.0
17,5.859934520952759,1.2279285316866768,2.1217727934238106,1.0882552839241892,0.8239425919746061,0.33453817493831134,2.133530469215033,0.483140320924447,1.9158164683654701,0.6165411780109327,1.472768279372865,2.0174140136219876e-13,-4.470690484581501e-11,0.0,-0.16210239936686094,0.0,-9.518978974216747,0.0
18,5.807770666421874,1.2345479158423986,2.1789969710801973,1.0855462956440012,0.8135204472473824,0.315800764107208,2.1928176662815133,0.46669567275214874,1.969437287355072,0.6027023086673197,1.4939574777065066,1.2988048136985952e-13,-2.968547629977543e-11,0.0,-0.17653190401617397,0.0,-9.495050743802919,0.0
19,5.755343036987376,1.2412619237822238,2.2348919413630024,1.0822745557345892,0.8032452911634508,0.29839241609467726,2.2509667983494426,0.45116648533700193,2.022777939021435,0.5895448822119523,1.5144283998521977,8.527553663206788e-14,-2.01338945517799e-11,0.0,-0.19108922286291988,0.0,-9.470778535295148,0.0
20,5.702686177758678,1.24806770887375,2.289558142925358,1.078477229608639,0.7931082279510286,0.2821796879731431,2.308083152066542,0.43646044162014347,2.0759113442918795,0.5770077572907828,1.5342349017095742,5.701342176145374e-14,-1.3900436357613422e-11,0.0,-0.20576454474229844,0.0,-9.44617322589688,0.0
21,5.649828631390994,1.2549630806250223,2.343081402342992,1.0741866914648688,0.7831017089394775,0.2670486025338982,2.364266200599177,0.4224989169366397,2.1289195148399966,0.5650381379529805,1.553422725597594,3.868953768471073e-14,-9.74575975481204e-12,0.0,-0.22054952935326186,0.0,-9.421243384716469,0.0
22,5.596794236469882,1.2619463644182578,2.3955355045782727,1.0694314360294122,0.7732193129409967,0.2529004700499269,2.4195884869696815,0.4092144122177823,2.1818555608534576,0.5535904446184526,1.5720309171048525,2.6593310886724453e-14,-6.9082517484514355e-12,0.0,-0.23543697363256022,0.0,-9.395995780425968,0.0
23,5.543603096511864,1.2690162971712138,2.4469842143768474,1.0642367884328965,0.7634555707270748,0.2396494352071788,2.4741193348405566,0.39654839151283505,2.234776844978692,0.5426250758557946,1.5900929346258397,1.856501063990379e-14,-4.9416026826187816e-12,0.0,-0.2504205625133612,0.0,-9.370435759870848,0.0
24,5.490272314018179,1.2761719485914285,2.497482882871276,1.0586254639425408,0.7538058236410573,0.22722028871226885,2.5279200732841276,0.3844495838554636,2.2877381255489118,0.5321074063302995,1.6076375278356345,1.2954914918594795e-14,-3.581357432842243e-12,0.0,-0.2654946797739328,0.0,-9.344567534710452,0.0
25,5.436816554127745,1.2834126609703083,2.5470797371709843,1.0526180144502508,0.7442661088462305,0.21554673029354174,2.5810450352853485,0.3728738012210205,2.34078242966321,0.5220069890291889,1.62468944026391,9.029235692459281e-15,-2.6061375280084884e-12,0.0,-0.28065426238214053,0.0,-9.318394401621031,0.0
26,5.383248482788882,1.290738002616288,2.5958169250094665,1.046233188442144,0.7348330655259157,0.20456997567428484,2.6335471144997684,0.3617815808314512,2.393949406724144,0.512296446742405,1.6412711691603614,6.366435156834882e-15,-1.912692226826049e-12,0.0,-0.29589468679407116,0.0,-9.291918913533902,0.0
27,5.329579111231651,1.298147731465133,2.6437313681877135,1.0394882240754455,0.7255038576989304,0.19423762874468345,2.685463853029701,0.35113730268478516,2.447276690072328,0.5029522088278433,1.6574026295634856,4.56926163572291e-15,-1.397437721096661e-12,0.0,-0.31121167904427843,0.0,-9.265143014503046,0.0
28,5.275818069571397,1.3056417663847104,2.690855465325682,1.0323990899614093,0.7162761103171033,0.18450274476582845,2.7368334988161775,0.340910740583702,2.500798440430728,0.49395302134690783,1.673097619039515,3.2751579226442118e-15,-1.009969885502015e-12,0.0,-0.32660124276665137,0.0,-9.238068147082405,0.0
29,5.221973826174512,1.313220164368901,2.7372176747790404,1.0249806846433223,0.7071478560637162,0.1753227210751576,2.787690317319619,0.3310728850008163,2.5545486974998157,0.4852798284106273,1.6883743219567744,2.447694824603275e-15,-7.416289804498795e-13,0.0,-0.3420596008761676,0.0,-9.210695338702271,0.0
30,5.168053865058533,1.32088310229106,2.782843001455188,1.0172470031334802,0.6981174908396056,0.16665977206575985,2.838065065847296,0.32159963180736323,2.608559774454196,0.4769153315208004,1.703241009894985,2.123301534595612e-15,-5.332401187276049e-13,0.0,-0.3575831477615278,0.0,-9.1830252718651,0.0
31,5.114064830490669,1.328630862226297,2.827753405951356,1.0092112769403778,0.6891837363554489,0.15847931746847743,2.887985389484457,0.3124677518713742,2.6628538594638824,0.4688435876918169,1.7177132009409366,2.192690473634684e-15,-3.942401960444708e-13,0.0,-0.37316840963468934,0.0,-9.155058341688326,0.0
32,5.060012645703926,1.336463819596292,2.871968150438536,1.0008860925789171,0.6803456085797499,0.15074978658847754,2.9374761529121067,0.3036568369984777,2.717454377213297,0.46105135336592684,1.7317960453545695,1.8318679906315083e-15,-2.9720670369219863e-13,0.0,-0.38881201125958414,0.0,-9.12679470353524,0.0
33,5.005902611008694,1.3443824335690029,2.9155040926754374,0.9922834924740966,0.6716023910474368,0.14344205240179095,2.986559727987955,0.2951485475727789,2.772388972491016,0.4535260559744069,1.7454996368969329,2.1545265571631944e-15,-2.313704783319094e-13,0.0,-0.40451064770165573,0.0,-9.098234312679216,0.0
34,4.951739485364151,1.352387239277484,2.9583759372055707,0.9834150613466905,0.6629536122327886,0.13653028369011366,3.0352562219438055,0.2869257228608501,2.8276876268309747,0.44625541141048347,1.7588315950419493,1.9567680809018384e-15,-1.6275869541006118e-13,0.0,-0.42026106005113534,0.0,-9.069376957682639,0.0
35,4.897527554567185,1.3604788415206146,3.000596450988385,0.974292000539074,0.6543990263460372,0.12999000558867796,3.083583670998894,0.27897251879352447,2.8833546426210663,0.4392297302155357,1.771795754242593,2.7200464103316335e-15,-1.0347278589506994e-13,0.0,-0.4360600143046873,0.0,-9.040222288605483,0.0
36,4.843270688532299,1.368657909682802,3.0421766493097944,0.964925192252178,0.6459385970359625,0.1237989160094988,3.131558213051516,0.271275133747419,2.9394283129921734,0.4324398113515062,1.7843972058569613,1.925543058334256e-15,-9.259260025374233e-14,0.0,-0.45190428276470307,0.0,-9.010769841035275,0.0
37,4.788972389614923,1.376925173666309,3.083125956713229,0.9553252552848902,0.6375724835785661,0.11793668101561337,3.1791942291298776,0.2638204688158303,2.9959127286431695,0.42587613307405736,1.7966400919345864,2.581268532253489e-15,-7.78266340262265e-14,0.0,-0.46779062744954,0.0,-8.981019056648725,0.0
38,4.734635833530327,1.3852814206733972,3.1234523468193736,0.9455025935689976,0.6293010292100645,0.11238390979109714,3.226504462251853,0.25659647173514033,3.0528354588152387,0.4195316778755662,1.808529028988454,2.8189256484623115e-15,-5.695444116327216e-14,0.0,-0.48371578510962027,0.0,-8.95096930089909,0.0
39,4.680263904110156,1.3937274927091108,3.1631624642051976,0.9354674385574707,0.6211247513257971,0.10712334748797679,3.2735001167416824,0.24959202915776804,3.1102034852913376,0.4133995859612663,1.820064800598465,3.164135620181696e-15,-7.471800955727582e-14,0.0,-0.49967645352412887,0.0,-8.920619878254987,0.0
40,4.625859222896703,1.4022642847019722,3.2022617309549326,0.9252298863363837,0.6130443333178175,0.10213831214964388,3.3201909404868997,0.24279687261939278,3.1680463613698433,0.4074722096372907,1.8312488568916256,2.942091015256665e-15,-6.21724893790107e-14,0.0,-0.5156692788153985,0.0,-8.889970045363416,0.0
41,4.571424174384678,1.41089274316062,3.240754440043417,0.9147999301811984,0.6050606178661198,0.09741371736032894,3.3665935090050656,0.23620149671177645,3.2263545705578096,0.40174495735075927,1.8420821096203481,3.344546861683284e-15,-7.194245199571273e-14,0.0,-0.5316908435662796,0.0,-8.859019022426676,0.0
42,4.5169609275695155,1.4196138653009365,3.2786438373447533,0.9041874891578858,0.5971746015331845,0.09293545372120203,3.412708299883027,0.22979708796493398,3.2851770162572502,0.3962122314131791,1.852564780138459,3.5110803153770576e-15,-7.394085344003815e-14,0.0,-0.5477376555657453,0.0,-8.827766002957372,0.0
43,4.4624714543412,1.4284286985914738,3.3159321937581914,0.8934024332724638,0.5893874305405211,0.08868988741843628,3.4585408986678967,0.2235754586246046,3.34449591007224,0.39086865233753915,1.8626964316565564,4.385380947269368e-15,-8.35997937542778e-14,0.0,-0.563806137037865,0.0,-8.796210162129983,0.0
44,4.407957545166235,1.4373383406757423,3.352620868694997,0.8824546055940514,0.5817003976301999,0.08466500229806234,3.5040958487242104,0.2175289921365043,3.404321471235622,0.3857108796324992,1.872476561940162,4.107825191113079e-15,-8.72635297355411e-14,0.0,-0.5798926142356109,0.0,-8.76435066380094,0.0
45,4.353420822422641,1.4463439396385804,3.3887103659630293,0.8713538417133269,0.5741149399352049,0.08084914916731804,3.549376453033654,0.21165059319833285,3.464698534757748,0.3807344300303193,1.8819047916806926,5.190292640122607e-15,-1.1035616864774666e-13,0.0,-0.595993307300269,0.0,-8.732186666315274,0.0
46,4.298862751689826,1.4554466945910791,3.4242003829132064,0.860109986846716,0.5666326378001804,0.07723119226865748,3.5943847855401425,0.20593364313751866,3.525604556219673,0.3759359070044309,1.8909776676612375,4.9682480351975755e-15,-1.0746958878372092e-13,0.0,-0.612104320304503,0.0,-8.699717327124512,0.0
47,4.244284651243766,1.464647856554482,3.459089853565562,0.8487329108552822,0.5592552145097077,0.07380113169203885,3.639121693537159,0.20037196010685102,3.5870487532646846,0.3713129194099062,1.8996923838783755,5.10702591327572e-15,-1.3011813848607683e-13,0.0,-0.6282216314100947,0.0,-8.666941806263592,0.0
48,4.189687699965755,1.4739487296284506,3.4933769863073985,0.8372325214139424,0.5519845368949977,0.07054941285515862,3.6835972832120363,0.19495976350012956,3.6490398310497483,0.36686197926774644,1.9080455792523254,5.495603971894525e-15,-1.5232259897858306e-13,0.0,-0.6443410830828277,0.0,-8.63385926866029,0.0
49,4.135072943838386,1.4833506724333296,3.5270592966485013,0.8256187755401363,0.5448226168021633,0.06746701548673502,3.727807799558877,0.18969124613643257,3.711610471445526,0.3625812808004584,1.9160362347749398,5.6343818499726694e-15,-1.46882506157919e-13,0.0,-0.6604583723150327,0.0,-8.600468885287622,0.0
50,4.0804413011737966,1.492855099819646,3.5601336354234214,0.8139016896703093,0.5377716134164785,0.06454546133616895,3.7717440152142814,0.18456164071091682,3.774739202171848,0.3584692882139435,1.9236598901949054,6.300515664747763e-15,-1.493249968120947e-13,0.0,-0.6765690408141402,0.0,-8.566769833099592,0.0
51,4.025793566695584,1.502463484841125,3.5925962127470594,0.8020913484568142,0.5308338364474843,0.06177677678400681,3.8154018175211073,0.17956624590216713,3.8384300316848017,0.3545235810715692,1.9309095041675166,5.773159728050814e-15,-1.8729462425428145e-13,0.0,-0.692668465119999,0.0,-8.532761293705322,0.0
52,3.9711304145762942,1.5121773609902618,3.6244426179538864,0.7901979124462286,0.5240117501895583,0.059153459166551,3.8587757561334572,0.17470054531692705,3.9026854460785976,0.3507434242079335,1.9377847939060968,6.328271240363392e-15,-1.949551631241965e-13,0.0,-0.7087518466178568,0.0,-8.498442450675151,0.0
53,3.9164524005162225,1.5219983246976816,3.655667835680664,0.778231624792584,0.5173079784821802,0.05666844642069381,3.901866309505951,0.16995982899271658,3.967506283188787,0.34712821952397593,1.944277363746427,7.438494264988549e-15,-1.9362289549464603e-13,0.0,-0.7248142014148374,0.0,-8.463812485452486,0.0
54,3.861759962936143,1.5319280380986375,3.686266258186891,0.7662028171547008,0.5107253106032817,0.05431508971013758,3.9446769355969367,0.1653407068752408,4.0328917385977165,0.34367685301724105,1.950383041341418,6.716849298982197e-15,-1.838529328779428e-13,0.0,-0.7408503500492627,0.0,-8.42887057169219,0.0
