step,kappa,period,x0,y0,z0,xmin,xmax,ymin,ymax,zmin,zmax,residual,logmu1_re,logmu1_im,logmu2_re,logmu2_im,logmu3_re,logmu3_im
14,0.526940197228851,2.426973257788123,0.5483128328020175,0.2311537545415801,0.9501344012640272,0.3576297860844008,2.3306094616332427,0.2101744020752162,3.1317170447477585,0.7945999800183324,1.186789392791486,1.970645868709653e-15,-4.996003610813218e-15,0.0,-0.45489726156148635,0.0,-5.877538054837514,0.0
15,0.5471360815910288,2.421055928176896,0.5127742330369676,0.20850095229920057,0.9440609543910011,0.32573227115620235,2.465795518145638,0.1858783705556316,3.3450625924002546,0.7766646964804271,1.2035874051075508,2.1649348980190553e-15,-9.769962616701426e-15,0.0,-0.5153489515120709,0.0,-5.876938988705841,0.0
16,0.5690783465729515,2.414386991247403,0.4781579880803126,0.1888513908049182,0.9375170187154092,0.2959253500068058,2.603803838406062,0.16481530348243495,3.560894846277,0.7585553311613523,1.2209735631597023,2.373101715136272e-15,2.664535259100372e-15,0.0,-0.576439179545546,0.0,-5.877946483993104,0.0
17,0.5928377442744763,2.4069256293830903,0.4445910699162068,0.17182986859373975,0.930481501988733,0.2681262781732123,2.7441623298383426,0.14659857659968123,3.77821079997639,0.7402868443354915,1.2390066435179394,2.220446049250313e-15,4.1078251911129946e-14,0.0,-0.6375481289870576,0.0,-5.880918341195636,0.0
18,0.6184906308378016,2.3986346000760324,0.41220087353296125,0.1571103877484144,0.9229364758513745,0.2422688327121709,2.886335255600212,0.1308838466178376,3.9959379635691303,0.721877812328218,1.2577388264470104,1.9984014443252818e-15,3.5282887722581245e-13,0.0,-0.6980649631380237,0.0,-5.886218314882646,0.0
19,0.6461159576704069,2.3894816273214707,0.38111464373466214,0.14441029282688864,0.9148678640189998,0.21829967474078876,3.029699281407667,0.1173646573990712,4.212913803563355,0.7033516379760689,1.2772138310477483,3.0808688933348094e-15,1.8423040870612876e-12,0.0,-0.7573926095531148,0.0,-5.894205875388285,0.0
20,0.6757912809503643,2.379441131113099,0.3514573070989782,0.13348472907708317,0.906266477898822,0.19617327813569624,3.173553959276598,0.10577024584849963,4.427833958512831,0.6847384108043566,1.2974649759833778,8.97098506591476e-11,-2.096478215451371e-9,0.0,-0.8149543788414728,0.0,-5.905223609352169,0.0
21,0.7075876938097891,2.36849628991343,0.3233478953498084,0.12412155026239041,0.8971293885864562,0.1758476509884858,3.3171372182358754,0.09586138847131419,4.639373628006986,0.6660748450886348,1.318510930199006,7.415190683701667e-11,-1.4749975696168995e-9,0.0,-0.870202797484236,0.0,-5.919582265179392,0.0
22,0.7415636979875397,2.356641368760421,0.2968948460599817,0.11613671158169467,0.8874615734504951,0.15727997685821432,3.4595500983372043,0.08742832208581477,4.846012632011459,0.6474080684146731,1.3403523735397613,5.659872570618063e-11,-9.187077769424896e-10,0.0,-0.9226307890062688,0.0,-5.937543791296057,0.0
23,0.7777582534360389,2.343884144344275,0.2721905888729711,0.1093701375590665,0.8772776974685234,0.14042225305030862,3.5998738572602518,0.08028639598366348,5.046207353780963,0.6287936875921447,1.3629697613426675,3.835293194143219e-11,-4.2646119977830144e-10,0.0,-0.9717850020499982,0.0,-5.959303353278245,0.0
