run,index,kappa,closure,neutral_error,transverse_modulus,BK_IVP_mu_difference
lower-n40,37,1.466679474726318,1.5786588702937365e-10,1.222386192267777e-09,0.2832723777343344,2.1175351250235508e-08
lower-n40,38,1.5224565626213515,1.2685028027981105e-10,1.0116729676212799e-09,0.283439567278132,2.1710059971979945e-08
lower-n40,39,1.5783920816336245,9.467859829470626e-11,7.665761359021417e-10,0.2840251251076848,2.1739403166520788e-08
lower-n40,40,1.6344251906325724,6.223516146874886e-11,4.957116939152684e-10,0.2849807939052027,2.130673237843439e-08
lower-n40,41,1.6905085809878477,3.019119676483939e-11,2.073942129143802e-10,0.28626636642968056,2.047473179889181e-08
lower-n40,42,1.7466060911043997,3.446709584409291e-11,9.049627713864083e-11,0.2878484550792652,1.931696025359031e-08
lower-n40,43,1.802690598110088,5.5627058515028693e-11,3.904685463851365e-10,0.2896993962259038,1.791100801007417e-08
lower-n40,44,1.8587422143725856,7.554201708614983e-11,6.856615275552258e-10,0.29179629870098744,1.6332886154657444e-08
lower-n40,45,1.9147467803276423,9.386402766153878e-11,9.699872016710742e-10,0.2941202320855649,1.4653028124200773e-08
lower-n40,46,1.9706946262516647,1.1033440827645791e-10,1.2384635539319788e-09,0.29665554303238484,1.2933410342697016e-08
lower-n40,47,2.0265795678804053,1.3152649802616878e-10,1.4869141473639047e-09,0.29938928460334596,1.1226555018950535e-08
lower-n40,48,2.0823980996043767,1.5141188303147146e-10,1.7121166706601798e-09,0.3023107429277609,9.574893100605664e-09
lower-n40,49,2.138148751303508,1.6908478783772551e-10,1.911968139367559e-09,0.30541104624940735,8.010778707046029e-09
lower-n40,50,2.1938315788062446,1.8456818018375287e-10,2.085164929610528e-09,0.3086828428994587,6.557482112867774e-09
lower-n40,51,2.2494477623528586,1.9791658589785044e-10,2.2311099634464426e-09,0.3121200364614736,5.230191391092376e-09
lower-n40,52,2.3049992917046995,2.0921089860514996e-10,2.3499782120239843e-09,0.3157175681287929,4.0370868870098775e-09
lower-n40,53,2.3604887203812903,2.185400194143483e-10,2.4425057532084793e-09,0.3194712378614041,2.980594437929085e-09
lower-n40,54,2.4159189748196224,2.2601687188483766e-10,2.509630725455736e-09,0.3233775573706062,2.058857306863615e-09
lower-n40,55,2.4712932070281823,2.3175629471072767e-10,2.5530493275027766e-09,0.32743362918094826,1.3414452881832517e-09
lower-n40,56,2.5266146815949515,2.358711420624715e-10,2.574420898682206e-09,0.33163704704921004,1.0531743810382466e-09
lower-n40,57,2.5818866897664834,2.384835107172023e-10,2.575534008286695e-09,0.33598581387523185,7.996634465712305e-10
lower-n40,58,2.6371124848110914,2.397156223521435e-10,2.5586475160821465e-09,0.34047827394597874,5.784769330219319e-10
lower-n40,59,2.6922952340761785,2.396833009843391e-10,2.5254105473493382e-09,0.34511305693289357,7.911129529247773e-10
lower-n40,60,2.747437984103399,2.3849974772893745e-10,2.4780268947921513e-09,0.34988903153372736,1.0792311488927453e-09
lower-n40,61,2.8025436359229987,2.362787049348114e-10,2.418347300192636e-09,0.3548052670362704,1.2979053387596196e-09
lower-n40,62,2.8576149282494874,2.3312798913543986e-10,2.3484074684887446e-09,0.35986100139270194,1.4570684658821165e-09
lower-n40,63,2.912654426776739,2.291427325662454e-10,2.269650911657095e-09,0.36505561464943215,1.565410467918582e-09
lower-n40,64,2.9676645181474437,2.2442629699082062e-10,2.1840491637448167e-09,0.3703886067825426,1.6314218864721397e-09
lower-n40,65,3.0226474074700946,2.1906600145005228e-10,2.0930088773241096e-09,0.37585957916026064,1.6623165066675938e-09
lower-n40,66,3.0776051184928552,2.131440718367017e-10,1.9978489973482283e-09,0.3814682189887335,1.6645145262117467e-09
lower-n40,67,3.1325394957305526,2.067458149124235e-10,1.8998773665401814e-09,0.3872142862120394,1.6436678684783601e-09
lower-n40,68,3.1874522079890926,1.9994310374027435e-10,1.800307680710489e-09,0.39309760242825925,1.6047598805357666e-09
lower-n40,69,3.2423447528487244,1.9281100327450673e-10,1.7001167140762163e-09,0.39911804145932006,1.551940131960805e-09
lower-n40,70,3.297218461760313,1.854046638438689e-10,1.5999943592248655e-09,0.4052755212741741,1.4885359611582771e-09
lower-n40,71,3.352074505482051,1.7779377969873167e-10,1.500961133160672e-09,0.4115699970155691,1.4177223839340058e-09
lower-n40,72,3.4069138996418435,1.700327378895139e-10,1.403552607470715e-09,0.4180014549238981,1.34187261302543e-09
lower-n40,73,3.4617375102561057,1.621727196976508e-10,1.3084544558950029e-09,0.4245699069844829,1.2631065082757686e-09
lower-n40,74,3.516546059071287,1.5425791199952243e-10,1.2158984930010774e-09,0.43127538615515626,1.1828236168298645e-09
lower-n40,75,3.5713401286221242,1.4634185530049137e-10,1.1266239052787341e-09,0.438117942052844,1.1027114776851477e-09
lower-n40,76,3.6261201669218988,1.3845388724398333e-10,1.0406289163711335e-09,0.44509763699993343,1.0234804115327734e-09
lower-n40,77,3.680886491716012,1.3063827797310523e-10,9.582694637799705e-10,0.4522145423437506,9.461020855638935e-10
lower-n40,78,3.735639294242002,1.229294999127717e-10,8.796705586178177e-10,0.4594687349797285,8.71115846123871e-10
