ejemplo,kappa,abscisa_espectral,datos,no_convergen,distancia_final_max,ln_y_min,z_max,t_final_max,horizonte,frac_cuasi,t_cuasi_max,t_cuasi_mediana
E1,0.008145882198917284,-0.06425655085075217,64,0,0.00010000000000009986,-3922.7045874635924,11.98366290046236,1523.8363066764878,5670.774177970454,0.921875,1354.0809421127271,872.6601447554185
E1,0.04072941099458642,-0.34491864683414797,64,0,0.00010000000000010684,-773.6900979192819,11.787262128873012,298.4576445956192,1172.5568424919957,0.875,265.62730369010103,150.78980180786786
E1,0.12218823298375925,-0.5162163579330977,64,0,0.00010000000000007373,-256.26551295242484,11.60603689488876,101.37732615694962,474.53651603364347,0.875,86.8246109871195,44.572920716259205
E1,0.2443764659675185,-0.20746657461151927,64,0,0.00010000000000008827,-128.1836677772299,11.635828661132894,84.35170835145472,440.58429241460294,0.90625,43.424259459328894,22.189091099339763
E1,0.36656469895127775,-0.040602673154516544,64,0,0.00010000000000005564,-88.74155150252068,11.924159630152753,238.65733822815156,1277.4226673244893,0.828125,29.17585959839153,16.66400991909187
E1,7.107239636954287,-0.07323905384882756,64,0,0.00010000000000010173,-11.330498991010113,11.991222753180129,125.16138290631234,680.0543521607312,0.015625,0.9857146299259568,0.9857146299259568
E1,12.92225388537143,-0.6395002542758854,64,0,0.00010000000000010624,-8.718902440730835,11.790598904325108,17.780012306193463,133.4628818458391,0.0,0.0,0.0
E1,64.61126942685715,-1.667334679432595,64,0,0.00010000000000005252,-7.2674654166448205,11.62789767821866,7.9074715235369935,87.60826957603494,0.0,0.0,0.0
E1,646.1126942685715,-1.8789513870332315,64,0,0.00010000000000010754,-6.86015645949709,11.851309823833454,7.061054194687623,84.01143731441822,0.0,0.0,0.0
E2,0.004913724989707335,-0.006088052348853593,64,0,0.00010000000000003596,-2370.5053912007156,0.8872995199669866,1951.3624295634243,15591.99017387615,0.828125,545.893639670368,47.28623143356786
E2,0.024568624948536677,-0.024572264661500823,64,0,0.00010000000000012007,-1560.1963831837004,0.8948906681708414,700.8644833844392,3519.4257778547744,0.828125,374.8223257139981,35.86935320671431
E2,0.07370587484561002,-0.01879528620359089,64,0,0.00010000000000030094,-1546.4074514818392,0.8979560547455245,754.7414577188642,2996.914913824193,0.8125,371.1441118332515,37.759422963103034
E2,0.14741174969122003,-0.010416709065653451,64,0,0.00010000000000011928,-1555.9245491521842,0.8931532340366515,1022.701665473693,4651.3312069709455,0.859375,377.17237422669797,40.72684491263957
E2,0.22111762453683007,-0.0025100528202695593,64,0,0.00010000000000023174,-1531.8221360539662,0.8947941132362717,2655.8177379546105,18168.808772615965,0.84375,373.009601295725,44.20250828097376
E2,4.847906542888932,-0.004759441593199493,64,0,0.00010000000000015425,-1502.0923904497506,0.894060433042701,1501.4763741593474,9523.141672219968,0.78125,357.1261555938008,26.990462786900544
E2,8.81437553252533,-0.029516859252706612,64,0,0.00010000000000008062,-1569.2734656689697,0.8623433930263538,595.6327399233676,1589.090488227525,0.84375,372.30024408910094,13.387185651134025
E2,44.071877662626655,-0.05674536300468966,64,0,0.00010000000000008994,-1468.6676709146,0.8936913136338507,479.7883651604688,853.9239468112771,0.703125,348.4463001977905,11.717432344753776
E2,440.7187766262665,-0.06283118663264572,64,0,0.00010000000000005604,-1513.9817114852776,0.876813215835929,481.0996278568221,776.295601315045,0.734375,358.63571758586806,14.050965265905237
